datetime,datetime_nano,KQ.i@SHFE.cu.open,KQ.i@SHFE.cu.high,KQ.i@SHFE.cu.low,KQ.i@SHFE.cu.close,KQ.i@SHFE.cu.volume,KQ.i@SHFE.cu.open_oi,KQ.i@SHFE.cu.close_oi
2026-01-05 09:27:00.000000000,1767576420000000000,100149,100162,100028,100155,1829,625619,625655
2026-01-05 09:28:00.000000000,1767576480000000000,100155,100262,100139,100250,1735,625655,625781
2026-01-05 09:29:00.000000000,1767576540000000000,100250,100258,100183,100193,1367,625781,626024
2026-01-05 09:30:00.000000000,1767576600000000000,100193,100287,100086,100147,1794,626024,626184
2026-01-05 09:31:00.000000000,1767576660000000000,100147,100147,99935,99974,2063,626184,626232
2026-01-05 09:32:00.000000000,1767576720000000000,99974,100068,99957,100028,1570,626232,626339
2026-01-05 09:33:00.000000000,1767576780000000000,100028,100159,100012,100094,1561,626339,626177
2026-01-05 09:34:00.000000000,1767576840000000000,100094,100098,99969,100013,1302,626177,626429
2026-01-05 09:35:00.000000000,1767576900000000000,100013,100107,99990,100107,1322,626429,626446
2026-01-05 09:36:00.000000000,1767576960000000000,100107,100242,100094,100238,1903,626446,626434
2026-01-05 09:37:00.000000000,1767577020000000000,100238,100339,100228,100308,3469,626434,626958
2026-01-05 09:38:00.000000000,1767577080000000000,100308,100324,100235,100237,2452,626958,627072
2026-01-05 09:39:00.000000000,1767577140000000000,100237,100380,100228,100379,2775,627072,627191
2026-01-05 09:40:00.000000000,1767577200000000000,100379,100419,100313,100415,2665,627191,627505
2026-01-05 09:41:00.000000000,1767577260000000000,100415,100465,100389,100458,2543,627505,627946
2026-01-05 09:42:00.000000000,1767577320000000000,100458,100476,100281,100324,1999,627946,628133
2026-01-05 09:43:00.000000000,1767577380000000000,100324,100349,100249,100346,1397,628133,628171
2026-01-05 09:44:00.000000000,1767577440000000000,100346,100404,100333,100404,1289,628171,628363
2026-01-05 09:45:00.000000000,1767577500000000000,100404,100517,100400,100498,2626,628363,628842
2026-01-05 09:46:00.000000000,1767577560000000000,100498,100540,100479,100515,1961,628842,629289
2026-01-05 09:47:00.000000000,1767577620000000000,100515,100784,100512,100764,3970,629289,629909
2026-01-05 09:48:00.000000000,1767577680000000000,100764,100815,100709,100730,2826,629909,630404
2026-01-05 09:49:00.000000000,1767577740000000000,100730,100858,100665,100776,3008,630404,630796
2026-01-05 09:50:00.000000000,1767577800000000000,100776,100776,100469,100469,3736,630796,631124
2026-01-05 09:51:00.000000000,1767577860000000000,100469,100719,100463,100693,2468,631124,631261
2026-01-05 09:52:00.000000000,1767577920000000000,100693,100693,100577,100617,1272,631261,631482
2026-01-05 09:53:00.000000000,1767577980000000000,100617,100723,100516,100723,2039,631482,631764
2026-01-05 09:54:00.000000000,1767578040000000000,100723,100796,100716,100748,2233,631764,631920
2026-01-05 09:55:00.000000000,1767578100000000000,100748,100748,100578,100619,2183,631920,631961
2026-01-05 09:56:00.000000000,1767578160000000000,100619,100624,100515,100523,1676,631961,631990
2026-01-05 09:57:00.000000000,1767578220000000000,100523,100556,100466,100493,1233,631990,632131
2026-01-05 09:58:00.000000000,1767578280000000000,100493,100628,100489,100627,1319,632131,632419
2026-01-05 09:59:00.000000000,1767578340000000000,100627,100691,100627,100685,1027,632419,632687
2026-01-05 10:00:00.000000000,1767578400000000000,100685,100815,100685,100709,1426,632687,632835
2026-01-05 10:01:00.000000000,1767578460000000000,100709,100721,100628,100628,960,632835,632926
2026-01-05 10:02:00.000000000,1767578520000000000,100628,100721,100534,100721,833,632926,632927
2026-01-05 10:03:00.000000000,1767578580000000000,100721,100742,100614,100678,832,632927,632916
2026-01-05 10:04:00.000000000,1767578640000000000,100678,100763,100669,100695,1027,632916,633005
2026-01-05 10:05:00.000000000,1767578700000000000,100695,100719,100619,100632,539,633005,633010
2026-01-05 10:06:00.000000000,1767578760000000000,100632,100642,100515,100515,1012,633010,633109
2026-01-05 10:07:00.000000000,1767578820000000000,100515,100579,100509,100513,993,633109,633001
2026-01-05 10:08:00.000000000,1767578880000000000,100513,100513,100346,100454,2010,633001,632701
2026-01-05 10:09:00.000000000,1767578940000000000,100454,100569,100434,100444,1331,632701,632818
2026-01-05 10:10:00.000000000,1767579000000000000,100444,100518,100435,100503,822,632818,632781
2026-01-05 10:11:00.000000000,1767579060000000000,100503,100516,100405,100415,839,632781,632827
2026-01-05 10:12:00.000000000,1767579120000000000,100415,100578,100394,100578,786,632827,632743
2026-01-05 10:13:00.000000000,1767579180000000000,100578,100775,100578,100755,1525,632743,632699
2026-01-05 10:14:00.000000000,1767579240000000000,100755,100808,100749,100758,1687,632699,632659
2026-01-05 10:30:00.000000000,1767580200000000000,100775,101100,100775,100990,6264,632659,632973
2026-01-05 10:31:00.000000000,1767580260000000000,100990,101082,100989,101047,2358,632973,632940
2026-01-05 10:32:00.000000000,1767580320000000000,101047,101101,100977,100978,2100,632940,632867
2026-01-05 10:33:00.000000000,1767580380000000000,100978,100981,100892,100955,1237,632867,632896
2026-01-05 10:34:00.000000000,1767580440000000000,100955,100977,100794,100911,1493,632896,632917
2026-01-05 10:35:00.000000000,1767580500000000000,100911,100962,100860,100888,1003,632917,632891
2026-01-05 10:36:00.000000000,1767580560000000000,100888,100941,100888,100914,823,632891,632937
2026-01-05 10:37:00.000000000,1767580620000000000,100914,100927,100846,100887,845,632937,632989
2026-01-05 10:38:00.000000000,1767580680000000000,100887,100889,100809,100864,704,632989,632970
2026-01-05 10:39:00.000000000,1767580740000000000,100864,100917,100802,100825,1020,632970,633004
2026-01-05 10:40:00.000000000,1767580800000000000,100825,100835,100709,100730,1356,633004,632985
2026-01-05 10:41:00.000000000,1767580860000000000,100730,100832,100719,100832,843,632985,632860
2026-01-05 10:42:00.000000000,1767580920000000000,100832,100892,100809,100863,1088,632860,632912
2026-01-05 10:43:00.000000000,1767580980000000000,100863,100885,100591,100591,1902,632912,632611
2026-01-05 10:44:00.000000000,1767581040000000000,100591,100708,100580,100615,1953,632611,632732
2026-01-05 10:45:00.000000000,1767581100000000000,100615,100632,100510,100510,1472,632732,632670
2026-01-05 10:46:00.000000000,1767581160000000000,100510,100732,100488,100717,1496,632670,632550
2026-01-05 10:47:00.000000000,1767581220000000000,100717,100728,100642,100661,945,632550,632642
2026-01-05 10:48:00.000000000,1767581280000000000,100661,100773,100646,100713,712,632642,632765
2026-01-05 10:49:00.000000000,1767581340000000000,100713,100768,100666,100762,516,632765,632790
2026-01-05 10:50:00.000000000,1767581400000000000,100762,100772,100629,100641,737,632790,632837
2026-01-05 10:51:00.000000000,1767581460000000000,100641,100764,100641,100754,814,632837,632847
2026-01-05 10:52:00.000000000,1767581520000000000,100754,100864,100754,100838,1103,632847,632805
2026-01-05 10:53:00.000000000,1767581580000000000,100838,100874,100814,100862,674,632805,632828
2026-01-05 10:54:00.000000000,1767581640000000000,100862,100896,100859,100882,967,632828,632938
2026-01-05 10:55:00.000000000,1767581700000000000,100882,100892,100827,100827,926,632938,632971
2026-01-05 10:56:00.000000000,1767581760000000000,100827,100886,100814,100857,580,632971,632949
2026-01-05 10:57:00.000000000,1767581820000000000,100857,100875,100775,100815,948,632949,632823
2026-01-05 10:58:00.000000000,1767581880000000000,100815,100827,100722,100734,971,632823,632797
2026-01-05 10:59:00.000000000,1767581940000000000,100734,100748,100666,100682,818,632797,632719
2026-01-05 11:00:00.000000000,1767582000000000000,100682,100795,100645,100790,1048,632719,632688
2026-01-05 11:01:00.000000000,1767582060000000000,100790,100796,100740,100783,611,632688,632642
2026-01-05 11:02:00.000000000,1767582120000000000,100783,100865,100772,100865,726,632642,632768
2026-01-05 11:03:00.000000000,1767582180000000000,100865,100871,100819,100831,530,632768,632840
2026-01-05 11:04:00.000000000,1767582240000000000,100831,100889,100788,100842,812,632840,632854
2026-01-05 11:05:00.000000000,1767582300000000000,100842,100896,100835,100843,615,632854,632801
2026-01-05 11:06:00.000000000,1767582360000000000,100843,100891,100805,100820,581,632801,632860
2026-01-05 11:07:00.000000000,1767582420000000000,100820,100857,100814,100819,773,632860,632894
2026-01-05 11:08:00.000000000,1767582480000000000,100819,100832,100784,100827,542,632894,632919
2026-01-05 11:09:00.000000000,1767582540000000000,100827,100827,100767,100790,349,632919,632915
2026-01-05 11:10:00.000000000,1767582600000000000,100790,100835,100790,100826,466,632915,632923
2026-01-05 11:11:00.000000000,1767582660000000000,100826,100837,100739,100739,713,632923,633131
2026-01-05 11:12:00.000000000,1767582720000000000,100739,100792,100739,100773,765,633131,633079
2026-01-05 11:13:00.000000000,1767582780000000000,100773,100809,100741,100771,998,633079,633247
2026-01-05 11:14:00.000000000,1767582840000000000,100771,100775,100678,100681,691,633247,633239
2026-01-05 11:15:00.000000000,1767582900000000000,100681,100690,100638,100638,947,633239,633265
2026-01-05 11:16:00.000000000,1767582960000000000,100638,100771,100629,100751,888,633265,633200
2026-01-05 11:17:00.000000000,1767583020000000000,100751,100755,100669,100691,517,633200,633130
2026-01-05 11:18:00.000000000,1767583080000000000,100691,100696,100666,100689,413,633130,633172
2026-01-05 11:19:00.000000000,1767583140000000000,100689,100698,100631,100632,616,633172,633208
2026-01-05 11:20:00.000000000,1767583200000000000,100632,100638,100570,100612,1006,633208,633275
2026-01-05 11:21:00.000000000,1767583260000000000,100612,100652,100612,100631,417,633275,633330
2026-01-05 11:22:00.000000000,1767583320000000000,100631,100681,100622,100674,441,633330,633212
2026-01-05 11:23:00.000000000,1767583380000000000,100674,100696,100660,100692,360,633212,633193
2026-01-05 11:24:00.000000000,1767583440000000000,100692,100707,100670,100678,297,633193,633227
2026-01-05 11:25:00.000000000,1767583500000000000,100678,100693,100650,100667,618,633227,633283
2026-01-05 11:26:00.000000000,1767583560000000000,100667,100757,100667,100715,808,633283,633390
2026-01-05 11:27:00.000000000,1767583620000000000,100715,100720,100669,100685,234,633390,633403
2026-01-05 11:28:00.000000000,1767583680000000000,100685,100754,100682,100742,524,633403,633320
2026-01-05 11:29:00.000000000,1767583740000000000,100742,100784,100729,100770,676,633320,633483
2026-01-05 13:30:00.000000000,1767591000000000000,100709,100709,100516,100629,3430,633483,634089
2026-01-05 13:31:00.000000000,1767591060000000000,100629,100686,100499,100508,1877,634089,634389
2026-01-05 13:32:00.000000000,1767591120000000000,100508,100653,100433,100592,1517,634389,634406
2026-01-05 13:33:00.000000000,1767591180000000000,100592,100600,100520,100600,986,634406,634388
2026-01-05 13:34:00.000000000,1767591240000000000,100600,100605,100520,100532,791,634388,634455
2026-01-05 13:35:00.000000000,1767591300000000000,100532,100563,100471,100485,1171,634455,634499
2026-01-05 13:36:00.000000000,1767591360000000000,100485,100557,100458,100557,1000,634499,634437
2026-01-05 13:37:00.000000000,1767591420000000000,100557,100581,100533,100580,756,634437,634383
2026-01-05 13:38:00.000000000,1767591480000000000,100580,100633,100553,100626,873,634383,634426
2026-01-05 13:39:00.000000000,1767591540000000000,100626,100626,100379,100380,2034,634426,634519
2026-01-05 13:40:00.000000000,1767591600000000000,100380,100478,100370,100423,2132,634519,634647
2026-01-05 13:41:00.000000000,1767591660000000000,100423,100439,100397,100425,2022,634647,635611
2026-01-05 13:42:00.000000000,1767591720000000000,100425,100433,100384,100416,930,635611,635705
2026-01-05 13:43:00.000000000,1767591780000000000,100416,100422,100343,100343,982,635705,635748
2026-01-05 13:44:00.000000000,1767591840000000000,100343,100375,100275,100291,2382,635748,635560
2026-01-05 13:45:00.000000000,1767591900000000000,100291,100409,100256,100385,1698,635560,635696
2026-01-05 13:46:00.000000000,1767591960000000000,100385,100417,100344,100351,1142,635696,635636
2026-01-05 13:47:00.000000000,1767592020000000000,100351,100480,100347,100477,1179,635636,635555
2026-01-05 13:48:00.000000000,1767592080000000000,100477,100491,100441,100467,952,635555,635586
2026-01-05 13:49:00.000000000,1767592140000000000,100467,100511,100464,100492,613,635586,635606
2026-01-05 13:50:00.000000000,1767592200000000000,100492,100517,100467,100489,1033,635606,635488
2026-01-05 13:51:00.000000000,1767592260000000000,100489,100547,100458,100505,853,635488,635489
2026-01-05 13:52:00.000000000,1767592320000000000,100505,100592,100459,100584,1214,635489,635253
2026-01-05 13:53:00.000000000,1767592380000000000,100584,100584,100491,100580,936,635253,635181
2026-01-05 13:54:00.000000000,1767592440000000000,100580,100673,100567,100667,1293,635181,635276
2026-01-05 13:55:00.000000000,1767592500000000000,100667,100696,100622,100626,1197,635276,635403
2026-01-05 13:56:00.000000000,1767592560000000000,100626,100663,100618,100632,1063,635403,635486
2026-01-05 13:57:00.000000000,1767592620000000000,100632,100731,100629,100731,918,635486,635509
2026-01-05 13:58:00.000000000,1767592680000000000,100731,100803,100711,100797,1484,635509,635652
2026-01-05 13:59:00.000000000,1767592740000000000,100797,100805,100759,100781,1006,635652,635849
2026-01-05 14:00:00.000000000,1767592800000000000,100781,100819,100754,100789,939,635849,636030
2026-01-05 14:01:00.000000000,1767592860000000000,100789,100833,100754,100762,826,636030,636099
2026-01-05 14:02:00.000000000,1767592920000000000,100762,100781,100745,100765,736,636099,636245
2026-01-05 14:03:00.000000000,1767592980000000000,100765,100857,100765,100852,641,636245,636348
2026-01-05 14:04:00.000000000,1767593040000000000,100852,100852,100745,100753,591,636348,636430
2026-01-05 14:05:00.000000000,1767593100000000000,100753,100786,100725,100779,748,636430,636561
2026-01-05 14:06:00.000000000,1767593160000000000,100779,100779,100660,100680,960,636561,636504
2026-01-05 14:07:00.000000000,1767593220000000000,100680,100795,100680,100787,865,636504,636440
2026-01-05 14:08:00.000000000,1767593280000000000,100787,100826,100783,100797,613,636440,636474
2026-01-05 14:09:00.000000000,1767593340000000000,100797,100801,100779,100781,366,636474,636426
2026-01-05 14:10:00.000000000,1767593400000000000,100781,100820,100781,100806,463,636426,636402
2026-01-05 14:11:00.000000000,1767593460000000000,100806,100819,100786,100814,577,636402,636442
2026-01-05 14:12:00.000000000,1767593520000000000,100814,100814,100773,100783,453,636442,636440
2026-01-05 14:13:00.000000000,1767593580000000000,100783,100822,100783,100785,450,636440,636567
2026-01-05 14:14:00.000000000,1767593640000000000,100785,100799,100727,100798,674,636567,636599
2026-01-05 14:15:00.000000000,1767593700000000000,100798,100848,100797,100803,628,636599,636686
2026-01-05 14:16:00.000000000,1767593760000000000,100803,100831,100789,100824,624,636686,636615
2026-01-05 14:17:00.000000000,1767593820000000000,100824,100828,100806,100810,449,636615,636701
2026-01-05 14:18:00.000000000,1767593880000000000,100810,100861,100802,100861,1007,636701,636680
2026-01-05 14:19:00.000000000,1767593940000000000,100861,100923,100860,100914,1517,636680,636963
2026-01-05 14:20:00.000000000,1767594000000000000,100914,100921,100890,100908,874,636963,637197
2026-01-05 14:21:00.000000000,1767594060000000000,100908,101058,100908,101030,2474,637197,637558
2026-01-05 14:22:00.000000000,1767594120000000000,101030,101096,101030,101092,1707,637558,637926
2026-01-05 14:23:00.000000000,1767594180000000000,101092,101100,100971,100988,1031,637926,638090
2026-01-05 14:24:00.000000000,1767594240000000000,100988,101015,100961,100995,840,638090,638196
2026-01-05 14:25:00.000000000,1767594300000000000,100995,101071,100990,101041,883,638196,638333
2026-01-05 14:26:00.000000000,1767594360000000000,101041,101043,100999,101001,640,638333,638432
2026-01-05 14:27:00.000000000,1767594420000000000,101001,101017,100960,100974,653,638432,638589
2026-01-05 14:28:00.000000000,1767594480000000000,100974,100982,100944,100962,561,638589,638654
2026-01-05 14:29:00.000000000,1767594540000000000,100962,100968,100906,100926,829,638654,638801
2026-01-05 14:30:00.000000000,1767594600000000000,100926,101000,100924,100953,768,638801,638782
2026-01-05 14:31:00.000000000,1767594660000000000,100953,101005,100930,100997,660,638782,638977
2026-01-05 14:32:00.000000000,1767594720000000000,100997,101010,100961,100961,435,638977,639000
2026-01-05 14:33:00.000000000,1767594780000000000,100961,100986,100958,100986,371,639000,639031
2026-01-05 14:34:00.000000000,1767594840000000000,100986,100998,100962,100976,368,639031,639115
2026-01-05 14:35:00.000000000,1767594900000000000,100976,100982,100875,100875,1131,639115,639117
2026-01-05 14:36:00.000000000,1767594960000000000,100875,100931,100869,100906,647,639117,639232
2026-01-05 14:37:00.000000000,1767595020000000000,100906,101049,100905,101044,1187,639232,639435
2026-01-05 14:38:00.000000000,1767595080000000000,101044,101044,101013,101030,975,639435,639604
2026-01-05 14:39:00.000000000,1767595140000000000,101030,101048,101013,101013,764,639604,639685
2026-01-05 14:40:00.000000000,1767595200000000000,101013,101030,100974,101026,716,639685,639781
2026-01-05 14:41:00.000000000,1767595260000000000,101026,101110,101025,101094,1453,639781,639852
2026-01-05 14:42:00.000000000,1767595320000000000,101094,101141,101078,101124,1451,639852,640175
2026-01-05 14:43:00.000000000,1767595380000000000,101124,101181,101097,101147,1567,640175,640474
2026-01-05 14:44:00.000000000,1767595440000000000,101147,101153,101105,101111,706,640474,640454
2026-01-05 14:45:00.000000000,1767595500000000000,101111,101147,101106,101137,974,640454,640391
2026-01-05 14:46:00.000000000,1767595560000000000,101137,101210,101135,101198,1864,640391,640751
2026-01-05 14:47:00.000000000,1767595620000000000,101198,101211,101162,101181,1234,640751,640951
2026-01-05 14:48:00.000000000,1767595680000000000,101181,101192,101110,101120,1222,640951,641112
2026-01-05 14:49:00.000000000,1767595740000000000,101120,101163,101116,101149,714,641112,641201
2026-01-05 14:50:00.000000000,1767595800000000000,101149,101149,101008,101019,1943,641201,641470
2026-01-05 14:51:00.000000000,1767595860000000000,101019,101116,101019,101095,1119,641470,641529
2026-01-05 14:52:00.000000000,1767595920000000000,101095,101195,101085,101195,1423,641529,642007
2026-01-05 14:53:00.000000000,1767595980000000000,101195,101200,101142,101195,1140,642007,642216
2026-01-05 14:54:00.000000000,1767596040000000000,101195,101251,101195,101243,1671,642216,642419
2026-01-05 14:55:00.000000000,1767596100000000000,101243,101286,101217,101264,1433,642419,642697
2026-01-05 14:56:00.000000000,1767596160000000000,101264,101346,101264,101318,1705,642697,642964
2026-01-05 14:57:00.000000000,1767596220000000000,101318,101351,101302,101348,1561,642964,643081
2026-01-05 14:58:00.000000000,1767596280000000000,101348,101373,101345,101362,1336,643081,643259
2026-01-05 14:59:00.000000000,1767596340000000000,101362,101368,101319,101342,1924,643259,643459
2026-01-05 21:00:00.000000000,1767618000000000000,100885,101115,100812,100966,11556,643459,641194
2026-01-05 21:01:00.000000000,1767618060000000000,100966,101122,100966,101108,3633,641194,641691
2026-01-05 21:02:00.000000000,1767618120000000000,101108,101169,101104,101149,2687,641691,641934
2026-01-05 21:03:00.000000000,1767618180000000000,101149,101173,101014,101165,2733,641934,642211
2026-01-05 21:04:00.000000000,1767618240000000000,101165,101227,101151,101187,2072,642211,642557
2026-01-05 21:05:00.000000000,1767618300000000000,101187,101353,101171,101338,2498,642557,642979
2026-01-05 21:06:00.000000000,1767618360000000000,101338,101385,101256,101379,2044,642979,643190
2026-01-05 21:07:00.000000000,1767618420000000000,101379,101385,101320,101320,2080,643190,643650
2026-01-05 21:08:00.000000000,1767618480000000000,101320,101461,101300,101461,2470,643650,643884
2026-01-05 21:09:00.000000000,1767618540000000000,101461,101490,101433,101476,3861,643884,644813
2026-01-05 21:10:00.000000000,1767618600000000000,101476,101549,101471,101480,2717,644813,645280
2026-01-05 21:11:00.000000000,1767618660000000000,101480,101481,101372,101440,2496,645280,645477
2026-01-05 21:12:00.000000000,1767618720000000000,101440,101612,101405,101606,2827,645477,646107
2026-01-05 21:13:00.000000000,1767618780000000000,101606,101606,101522,101581,2469,646107,646505
2026-01-05 21:14:00.000000000,1767618840000000000,101581,101645,101581,101640,1879,646505,646891
2026-01-05 21:15:00.000000000,1767618900000000000,101640,101737,101595,101737,2423,646891,647481
2026-01-05 21:16:00.000000000,1767618960000000000,101737,101847,101737,101830,3096,647481,648448
2026-01-05 21:17:00.000000000,1767619020000000000,101830,101833,101738,101808,2178,648448,648905
2026-01-05 21:18:00.000000000,1767619080000000000,101808,101972,101789,101964,2876,648905,649337
2026-01-05 21:19:00.000000000,1767619140000000000,101964,102011,101869,102010,3453,649337,649377
2026-01-05 21:20:00.000000000,1767619200000000000,102010,102171,102010,102105,4514,649377,650149
2026-01-05 21:21:00.000000000,1767619260000000000,102105,102105,101894,101916,2569,650149,650614
2026-01-05 21:22:00.000000000,1767619320000000000,101916,102061,101915,101974,2062,650614,650884
2026-01-05 21:23:00.000000000,1767619380000000000,101974,101975,101877,101918,2272,650884,651091
2026-01-05 21:24:00.000000000,1767619440000000000,101918,101960,101798,101839,1999,651091,651244
2026-01-05 21:25:00.000000000,1767619500000000000,101839,101926,101823,101899,1498,651244,651253
2026-01-05 21:26:00.000000000,1767619560000000000,101899,102051,101898,102041,1798,651253,651482
2026-01-05 21:27:00.000000000,1767619620000000000,102041,102041,101929,101946,1302,651482,651765
2026-01-05 21:28:00.000000000,1767619680000000000,101946,102028,101946,102010,1217,651765,651895
2026-01-05 21:29:00.000000000,1767619740000000000,102010,102012,101914,101950,1291,651895,651740
2026-01-05 21:30:00.000000000,1767619800000000000,101950,102037,101863,101897,1997,651740,651801
2026-01-05 21:31:00.000000000,1767619860000000000,101897,102189,101892,102177,2803,651801,652300
2026-01-05 21:32:00.000000000,1767619920000000000,102177,102342,102177,102298,3939,652300,653036
2026-01-05 21:33:00.000000000,1767619980000000000,102298,102480,102293,102480,3377,653036,653669
2026-01-05 21:34:00.000000000,1767620040000000000,102480,102585,102480,102585,3037,653669,654237
2026-01-05 21:35:00.000000000,1767620100000000000,102585,102602,102505,102528,2871,654237,654764
2026-01-05 21:36:00.000000000,1767620160000000000,102528,102584,102372,102409,2944,654764,655277
2026-01-05 21:37:00.000000000,1767620220000000000,102409,102503,102409,102474,1933,655277,655343
2026-01-05 21:38:00.000000000,1767620280000000000,102474,102487,102407,102428,2064,655343,655787
2026-01-05 21:39:00.000000000,1767620340000000000,102428,102446,102349,102395,1746,655787,655942
2026-01-05 21:40:00.000000000,1767620400000000000,102395,102534,102395,102494,2263,655942,656183
2026-01-05 21:41:00.000000000,1767620460000000000,102494,102507,102385,102429,1268,656183,656275
2026-01-05 21:42:00.000000000,1767620520000000000,102429,102463,102391,102454,1080,656275,656261
2026-01-05 21:43:00.000000000,1767620580000000000,102454,102618,102428,102617,2252,656261,656606
2026-01-05 21:44:00.000000000,1767620640000000000,102617,102691,102512,102512,3546,656606,656739
2026-01-05 21:45:00.000000000,1767620700000000000,102512,102608,102508,102608,1574,656739,656891
2026-01-05 21:46:00.000000000,1767620760000000000,102608,102766,102597,102678,3599,656891,657263
2026-01-05 21:47:00.000000000,1767620820000000000,102678,102800,102678,102777,2533,657263,657690
2026-01-05 21:48:00.000000000,1767620880000000000,102777,102779,102688,102728,1540,657690,657867
2026-01-05 21:49:00.000000000,1767620940000000000,102728,102783,102699,102744,1759,657867,658200
2026-01-05 21:50:00.000000000,1767621000000000000,102744,102798,102732,102791,2164,658200,658598
2026-01-05 21:51:00.000000000,1767621060000000000,102791,102792,102704,102715,1700,658598,658949
2026-01-05 21:52:00.000000000,1767621120000000000,102715,102715,102566,102585,2487,658949,658858
2026-01-05 21:53:00.000000000,1767621180000000000,102585,102615,102497,102525,2313,658858,658726
2026-01-05 21:54:00.000000000,1767621240000000000,102525,102548,102508,102520,1001,658726,658796
2026-01-05 21:55:00.000000000,1767621300000000000,102520,102568,102390,102425,3092,658796,658594
2026-01-05 21:56:00.000000000,1767621360000000000,102425,102464,102382,102453,1694,658594,658665
2026-01-05 21:57:00.000000000,1767621420000000000,102453,102577,102448,102565,1684,658665,658818
2026-01-05 21:58:00.000000000,1767621480000000000,102565,102611,102509,102541,988,658818,658900
2026-01-05 21:59:00.000000000,1767621540000000000,102541,102629,102539,102609,1042,658900,659090
2026-01-05 22:00:00.000000000,1767621600000000000,102609,102654,102589,102593,1810,659090,659272
2026-01-05 22:01:00.000000000,1767621660000000000,102593,102632,102589,102626,858,659272,659418
2026-01-05 22:02:00.000000000,1767621720000000000,102626,102626,102579,102587,893,659418,659521
2026-01-05 22:03:00.000000000,1767621780000000000,102587,102587,102475,102512,1393,659521,659537
2026-01-05 22:04:00.000000000,1767621840000000000,102512,102512,102380,102380,2143,659537,659468
2026-01-05 22:05:00.000000000,1767621900000000000,102380,102474,102365,102402,1366,659468,659459
2026-01-05 22:06:00.000000000,1767621960000000000,102402,102420,102381,102405,1249,659459,659248
2026-01-05 22:07:00.000000000,1767622020000000000,102405,102419,102232,102336,3158,659248,659042
2026-01-05 22:08:00.000000000,1767622080000000000,102336,102362,102307,102315,1287,659042,659014
2026-01-05 22:09:00.000000000,1767622140000000000,102315,102340,102285,102311,1111,659014,659003
2026-01-05 22:10:00.000000000,1767622200000000000,102311,102413,102311,102381,1263,659003,658990
2026-01-05 22:11:00.000000000,1767622260000000000,102381,102389,102212,102212,1726,658990,658830
2026-01-05 22:12:00.000000000,1767622320000000000,102212,102284,102183,102223,2095,658830,658578
2026-01-05 22:13:00.000000000,1767622380000000000,102223,102337,102219,102275,1245,658578,658479
2026-01-05 22:14:00.000000000,1767622440000000000,102275,102348,102275,102324,976,658479,658485
